id	bank_ch	site_ch	status	keyed	keyed_text	best	best_text	source	note	question
455	ar-10	ar-22, ar-25, ar-26	CORRECTED (proposed, not applied)	B	700 hPa	A	620 hPa	CAR Sec 8 Series O Pt II 4.3.9.1 (all crew and passengers: below 620 hPa; 700 hPa applies to crew + 10 % passengers after 30 min)	keyed B (700) is wrong for all crew and passengers	Oxygen is carried on board for crew members and passengers when atmospheric pressure will be less than:
456	ar-8	ar-19, ar-21	VERIFIED	B	Alert phase			CAR Sec 9 Series E Pt I 5.2.1 b) (alert phase: operating efficiency impaired, forced landing not likely)		A twin engine p-i-c has decided to divert due to failure of one engine. It will be
457	ar-9	ar-13	VERIFIED	B	DGCA			Aircraft Rules r.24B		Prisoners can be carried on board with the permission of :
458	ar-9	ar-13	FLAGGED	D	D,E,F,G	D	D,E,F,G	as #269		Indian airspace is classified as:
459	ar-13	ar-18	VERIFIED	A	Aerodrome unsafe do not land			Annex 2 App 1 3.1		Series of red flashes to an aircraft in flight indicate:
460	ar-3	ar-3	VERIFIED	B	Above FL150			AIP India ENR 1.2 §4.1		VFR flts are not permitted:
461	ar-4	ar-7, ar-12	VERIFIED	A	AIRAC			AIP India GEN 3.1 (AIRAC system for operationally significant changes; establishment of radio nav aids is an AIRAC item, Annex 15 App 4)		Advance notification for establishment of a VOR at an airport shall be notified by means of
462	ar-10	ar-22, ar-25, ar-26	DROPPED (recommended)	C	instrument flight.			malformed	answer split across options B-D by extraction	The sensations which lead to spatial disorientation during instrument flight conditions:
463	ar-1	ar-1	BLOCKED	C	50 m from the edge of the runway			no held source for a 50 m default holding distance		Where taxiway holding positions have not been established, aircraft waiting to enter an active runway 1000m of length should normally hold.
464	ar-9	ar-13	CORRECTED (proposed, not applied)	C	Then to a specified alternate and then for a period of 45 minutes at normal cruising speed.	B	And then fly for a period of 30 minutes at normal cruising speed.	CAR Sec 8 Series O Pt III 2.2.3.6 c) (day VFR: destination + 30 minutes at normal cruising altitude)	keyed C (alternate + 45 min) is the IFR requirement	The amount of fuel carried on board any propeller driven aeroplane at the commencement of a day VFR flight must be sufficient ,having regard to the meteorological conditions and foreseeable delays that are expected in flight , to fly to the destination aerodrome
465	ar-7	ar-9, ar-11	VERIFIED	D	15 cms			CAR Sec 4 Series B Pt I 5.2.8.10 (taxiway centre line at least 15 cm)		Width of Taxy track centre line markings is:
466	ar-6	ar-4	FLAGGED	B	At least 700’ from the surface of the earth to unlimited	B	At least 700’ from the surface of the earth to unlimited	Annex 2 def. Control area (upward from a specified limit); Annex 11 lower limit not less than 200 m	"to unlimited" is wrong - the upper limit is specified; B is least wrong	CTA extends from:
467	ar-1	ar-1	VERIFIED	C	Not applicable			AIP India ENR 1.4 table (speed limitation: not applicable in Class A)		Speed limitations in class ‘A’ airspace are :
468	ar-8	ar-19, ar-21	VERIFIED	C	Uncertainity phase			Doc 4444 / Annex 11 (uncertainty: 30 min after ETA)		A Boeing 737 aircraft fails to arrive over DPN at 1135 UTC .His ETA DPN is 1105 UTC .It will be a:
469	ar-1	ar-1	VERIFIED	A	Maintain heading and speed			Annex 2 3.2.2 (right-of-way aircraft maintains heading and speed)		Aircraft that has right -of-way shall:
470	ar-1	ar-1	VERIFIED	D	8kms			AIP India ENR 1.2 1 (8 km at/above 10000 ft)		In class ‘D’ airspace, a VFR Flt at F120 requires inflight visibility of:
471	ar-3	ar-3	VERIFIED	C	F 170			Annex 2 App 3		On a magnetic track of 000º, an IFR flt can fly at:
472	ar-4	ar-7, ar-12	VERIFIED	A	IFR departures at busy aerodromes			PANS-OPS (Captain's notes Ch.12) SID		SIDs are used for:
473	ar-10	ar-22, ar-25, ar-26	FLAGGED	C	Using oxygen above 5000 AMSL during night time	C	Using oxygen above 5000 AMSL during night time	FAA AIM 8-1 (dark adaptation impaired above 5000 ft)	"hypoxia controlled by oxygen above 5000 ft at night" is a recommendation, not a control; wording	Hypoxia can be controlled by:
474	ar-10	ar-22, ar-25, ar-26	VERIFIED	C	N2 babbles in tissues.			HPL textbook DCS (nitrogen bubbles)		Decompression sickness causes:
475	ar-13	ar-18	VERIFIED	B	60mins			Annex 2 3.3.1.4 (at least sixty minutes before departure)		Flight plan shall be submitted atleast ______ mins before departure
476	ar-1	ar-1	VERIFIED	B	Annex 6			Annex 6 = Operation of Aircraft		Annex dealing with operation of Aircraft is
477	ar-7	ar-9, ar-11	VERIFIED	A	Aerodromes			AIP India AD section		AIP contains information on:
478	ar-7	ar-9, ar-11	VERIFIED	C	45º			CAR Sec 4 Series B Pt I 3.9.18 (RET not greater than 45 deg nor less than 25 deg, preferably 30)		Angle of intersection of Rapid Exit Taxiways with runway should not be more than:
479	ar-7	ar-9, ar-11	VERIFIED	D	50 m			Air Law textbook 20.12 (stripe + gap not less than 50 m)		Length of runway centre line stripe + gap should not be less than
480	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	An increased sense of well being			HPL textbook (euphoria early symptom)		A major early symptom of Hypoxia is
481	ar-6	ar-4	VERIFIED	B	250 knots			AIP India ENR 1.4 (250 kt IAS below 10000 ft)	stem lost "India"	What is the maximum speed for an aircraft to fly under VFR at 8000 feet in class G airspace in ?
482	ar-4	ar-7, ar-12	FLAGGED	D	100’ & upto 350m	D	100’ & upto 350m	CAR Sec 8 Series C Pt I: Cat II RVR not less than 300 m	outdated 350 m	In Cat II ILS approach, what is DH & RVR?
483	ar-3	ar-3	VERIFIED	C	1000 feet above the highest fixed object within 8 km of its position			Annex 2 5.1.2 b) (300 m within 8 km)		What is the minimum cruise altitude under IFR (over non-mountainous terrain) allowed by ICAO?
484	ar-5	ar-5, ar-6, ar-8	VERIFIED	D	All the above			Annex 2 App 2 1.1 (follow, call 121.5, squawk A7700)		If a military aero plane flies alongside you and rocks its wings, what should you do?
485	ar-6	ar-4	VERIFIED	D	Give way to other aircraft and continue circling			Annex 2 App 1 3.1		What does a steady red light from ATC indicate to the pilot of an aircraft in flight?
486	ar-13	ar-18	VERIFIED	A	A steady green light and nor			Annex 2 App 1 3.1	option A text damaged	What light signal indicates to the pilot of an aircraft in the air that he may land?
487	ar-1	ar-1	VERIFIED	A	Show his open hand then close it			Annex 2 App 1 7 a) (set brakes: open palm, then close into a fist)		What signal should the pilot use to tell his ground handler that his brakes are on?
488	ar-4	ar-7, ar-12	VERIFIED	D	Make all take-offs, landings and taxiing on runways & taxiways only.			Annex 2 App 1 4.2.4		What does a white dumbbell in the signal area mean?
489	ar-7	ar-9, ar-11	VERIFIED	A	A white T in the signal area or or			Annex 2 App 1 4.2.5.1	option A text damaged ("or or")	What ground signal indicates the runway in use to an aircraft in the air?
490	ar-4	ar-7, ar-12	VERIFIED	D	Take special care during approach and landing			Annex 2 App 1 4.2.2		In the signals area there is a red square with a yellow diagonal. What does this mean?
491	ar-13	ar-18	VERIFIED	A	An aircraft			Aircraft Rules r.3(7) (Aircraft def.)		What is defined as “Any machine that can derive support in the atmosphere from the reaction of the air other than the reactions of the air against the earth’s surface”?
492	ar-6	ar-4	VERIFIED	C	A Control Zone			Annex 2 def. Control zone		Which type of controlled airspace touches the ground?
493	ar-6	ar-4	VERIFIED	B	Flight Information Service			Annex 2 / Doc 4444 def. Flight information service		What Air Traffic Service gives a pilot information about possible conflicting traffic but no advice as to the correct action to take to avoid it?
494	ar-6	ar-4	VERIFIED	B	Class C			AIP India ENR 1.4 Class C		In which Class of controlled airspace does ATC provide separation to IFR traffic from all other traffic, no separation between VFR traffic, but VFR traffic must have clearance to enter the airspace?
495	ar-6	ar-4	VERIFIED	D	Controlled traffic arriving or departing the aerodrome only			Doc 4444 def. Approach control service (controlled flights arriving/departing)		ATC may provide an Approach Control Service. For what traffic is it primarily provided?
496	ar-5	ar-5, ar-6, ar-8	VERIFIED	B	Air Traffic Advisory Service			AIP India ENR 1.4 / Annex 11 def. air traffic advisory service		What is defined as “A service provided within advisory airspace to ensure separation, in so far as is practical, between aircraft which are operating on IFR flights plans. “?
497	ar-8	ar-19, ar-21	VERIFIED	C	Distress phase			CAR Sec 9 Series E Pt I 5.2.1 c) (distress phase: forced landing likely)		Cessna aircraft call sign VGA gives a call that he has a lot of smoke in the cockpit and is going to land at a nearby field. It will be a:
498	ar-3	ar-3	VERIFIED	B	2000’			as #181		The aerobatics shall be carried out not below:
499	ar-13	ar-18	FLAGGED	A	Air temp, turbulence, spot wind	A	Air temp, turbulence, spot wind	Doc 4444 4.12 Section 3	"spot wind" is old wording; A closest	Met report contains
500	ar-5	ar-5, ar-6, ar-8	VERIFIED	C	4000’ AMSL			AIP India ENR 1.7 §2.1.1		Transition altitude at an aerodrome is above _____ Msl in
501	ar-13	ar-18	VERIFIED	A	Notams			AIP India GEN 3.1 (NOTAM)		Change in frequency or location of navigational aids on short notice is notified through:
502	ar-10	ar-22, ar-25, ar-26	CONSISTENT (not document-checked)	C	Hypothermia			standard definition		When body temp. is low, its called:
503	ar-1	ar-1	VERIFIED	D	Red			as #389		Runaway end lights appear as _____ lights:
504	ar-1	ar-1	VERIFIED	B	Green			as #286		Taxytrack center line lights are
505	ar-4	ar-7, ar-12	VERIFIED	C	below minima			Ops textbook, planning minima		IFR flight shall not be commenced if the weather at destination and alternate is
506	ar-1	ar-1	VERIFIED	B	5 NMS, 1000’			AIP India ENR 5.2.2		ADC is exempted for A/C flying within ___of the aerodrome and below
507	ar-1	ar-1	VERIFIED	B	White			CAR Sec 4 Series B Pt I 5.3.12.7 (variable white)		Runway centre line lights are:
508	ar-6	ar-4	VERIFIED	B	90º			Doc 4444 9.1.4.2.2.2		Crossing of an ATS route should be at an angle of :
509	ar-9	ar-13	VERIFIED	B	900 lts			as #262		Petroleum in bulk is petroleum in receptable, which exceeds
510	ar-9	ar-13	FLAGGED	C	1994	C	1994	as #263		The demolition of buildings and trees act was came into effect in year
511	ar-1	ar-1	VERIFIED	B	Inform health officer of destination			as #111		If a passenger falls sick then action by PIC is
512	ar-6	ar-4	VERIFIED	B	Rocking Wings			Annex 2 App 1 3.2		If an a/c has R/T failure then it will indicate to the ATC during day by
513	ar-9	ar-13	FLAGGED	A	20 mins after Sunset to 20 mins before	A	20 mins after Sunset to 20 mins before	see #226		Night flying hours can be logged between
514	ar-4	ar-7, ar-12	VERIFIED	C	Magnetic North			as #36		Runway direction is measured from
515	ar-1	ar-1	VERIFIED	A	F 260			Annex 2 App 3 (180 is in 180-359 band; FL260 even)		An A/C flying a track of 180 degrees will fly at ____ level on a IFR plan..
516	ar-7	ar-9, ar-11	VERIFIED	B	Cut Engines			Annex 2 App 1 5.10		If the marshaller has either arm placed level with chest and moved laterally indicates
517	ar-7	ar-9, ar-11	VERIFIED	D	loading/unloading of passengers, mail and cargo, fueling, parking or maintenance.			Annex 2 def. Apron	options A-C damaged by extraction	Apron is an area on aerodrome where following activities take place:
518	ar-6	ar-4	VERIFIED	B	30º at 15 NMs			Doc 4444 5.4.1.2.1.2 b) (NDB 30° and 15 NM)		NDB separation is
519	ar-13	ar-18	VERIFIED	A	Not withstanding any previous instructions, do not land for the time being.			Annex 2 App 1 3.1 (red pyrotechnic: notwithstanding previous instructions, do not land for the time being)		Red pyrotechnic light to A/C in flight indicates
520	ar-9	ar-13	FLAGGED	C	9 hrs 3 landing	C	9 hrs 3 landing	see #92	outdated	International flying time in one day is:
521	ar-7	ar-9, ar-11	VERIFIED	A	Alternate white & green			as #383		Aerodrome beacon light colour is
522	ar-5	ar-5, ar-6, ar-8	VERIFIED	B	Flight level			AIP India ENR 1.7	12000 ft is above every Indian TA	If an A/C flying at F290 is descending over Palam and its altimeter reads 12000 ft then the pilot will report its height as
523	ar-3	ar-3	VERIFIED	B	F 240			Annex 2 App 3 (180 is in the 180-359 band)		For an IFR flt on a track of 180º (M) , FL to be selected is
524	ar-1	ar-1	VERIFIED	A	1			CAR Sec 8 Series O Pt II 9.4.3 (PIC: at least one trip on the route within the preceding 12 months)		Pilot to act as PIC of a public transport a/c should have flown on that route:
525	ar-6	ar-4	VERIFIED	B	5% & 10 kts			CAR Sec 9 Series C Pt I 3.6.2.2 c) (TAS varies by +/- Mach 0.02 or +/- 10 kt)	"5 %" in option B is the old wording; 10 kt is current	The pilot has to inform the ATC if its TAS changes by
526	ar-8	ar-19, ar-21	VERIFIED	C	5 mins			as #231		The alert phase starts when an A/C fails to land within
527	ar-1	ar-1	VERIFIED	C	30 mts			Aircraft Rules r.25A(2)(c) (30 m)		No smoking shall be permitted within _______mtrs .of A/C (or) fuelling equipment.
528	ar-10	ar-22, ar-25, ar-26	CORRECTED (proposed, not applied)	C	All crew when pressure below 700 hPa.	B	All crew Passengers	CAR Sec 8 Series O Pt II 4.3.9.2 (pressurised: all crew members AND passengers, below 700 hPa after loss of pressurisation)	keyed C omits passengers	Flight to be operated in pressurized a/c, flight is not to commence unless oxygen is carried to supply:
529	ar-9	ar-13	CORRECTED (proposed, not applied)	A	30 m	C	60 m	CAR Sec 4 Series B Pt I 5.2.4.5	"8 on each side" = 16 stripes = 60 m; keyed A contradicts #427	46 Runway threshold stripes are 8 on each side of central line of runway:
530	ar-10	ar-22, ar-25, ar-26	VERIFIED	B	Steeper than normal			as #144		For a VFR flight making approach at night, the approach will appear to be.
531	ar-3	ar-3	VERIFIED	C	The aircraft that has the other on its right shall give way.			Annex 2 3.2.2.3		When two aircraft are converging at approximately the same altitude
532	ar-7	ar-9, ar-11	CORRECTED (proposed, not applied)	C	To extinguish any fire with minimum delay	D	To save lives	CAR Sec 4 Series B Pt I 9.2 Note: principal objective of a rescue and firefighting service is to save lives	keyed C (extinguish fire) is wrong	What is the principle objective of a rescue and firefighting service?
533	ar-8	ar-19, ar-21	VERIFIED	A	A survivor requires medical assistance			Captain SAR notes (X = require medical assistance)		If a pilot sees 2.5 meter symbol “X” on the ground, What does it mean?
534	ar-4	ar-7, ar-12	VERIFIED	C	A survivor requires general assistance			Captain's SAR notes / Annex 12 ground-air code: V = require assistance		If pilot sees 2.5 meter symbol “V” on the ground, what does it mean?
535	ar-12	ar-16, ar-17, ar-20	FLAGGED	A	Constant Airspeed	A	Constant Airspeed	no held source	FAA and textbook doctrine is to hold ATTITUDE and accept speed/altitude changes (turbulence speed); "constant airspeed" is disputed. Same for #595 #724 #761	If you fly into Severe Turbulence which flight condition should you intend to maintain -
536	ar-7	ar-9, ar-11	VERIFIED	B	Alternative Red and White light from 3000 ft to 1000 ft and then Red light to the end.			CAR Sec 4 Series B Pt I 5.3.12.7 (white to 900 m from end; alternate red/white 900-300 m; red last 300 m)		Identify Runway lighting on center line lighting system:
537	ar-7	ar-9, ar-11	VERIFIED	C	Alternate green & Yellow light covering from center line of Runway to the center line of Taxiway.			CAR Sec 4 Series B Pt I 5.3.17.7 (exit taxiway centre line lights alternate green and yellow)		Identify Taxi way lights associated with center line lighting system:
538	ar-1	ar-1	VERIFIED	C	Total one hour of the oldest recorded data at the time of testing may be erased.			14 CFR 121.343(h) ("A total of 1 hour of recorded data may be erased ... must be of the oldest recorded data accumulated at the time of testing")	US regulation; not found in DGCA CARs or ICAO text held	For testing of Flt Recorder System:
539	ar-4	ar-7, ar-12	FLAGGED	D	20 Nms	D	20 Nms	CAR Sec 9 Series R Pt I 1.2 ("minimum 1000 feet clearance from the highest obstacle within the route width of 20 nautical miles") vs AIP India GEN 3.3 5.1 ("within 10 KM on each side")	REVERSAL: my first audit proposed B from the AIP. The DGCA CAR supports the key (20 NM). Two official sources disagree - Captain to rule	En-route Altitude will be determined for each stage of the route by taking 1000 ft of Terrain clearance with in a width of:
540	ar-3	ar-3	VERIFIED	A	2 NMs from the Aerodrome			as #118		Aerobatic can be done below Altitude 6000 ft at least at a distance of:
541	ar-9	ar-13	FLAGGED	B	4 hrs			as #412		Flt Duty Time in the event of being extended shall be limited to:
542	ar-1	ar-1	VERIFIED	B	All Inst and Visual Flts			AIP India ENR 1.10 (flight plan for any flight in Indian airspace)		A flt- plan is required to be submitted to the appropriate ATS unit for: -
543	ar-1	ar-1	FLAGGED	B	8 hrs and 6 landings	B	8 hrs and 6 landings	CAR Sec 7 J Pt III 6.1 (8 h FT band allows 6 landings at FDP 11:00)	"domestic" framing is outdated; B matches the current 6-landing band	Flt Crew on Domestic Flt, the Flt time should not exceed more than ______ and No. of landing restrictions is
544	ar-6	ar-4	VERIFIED	C	10			AIP India ENR 1.7 (transit FIR to FIR: transmit estimate at least 10 minutes prior to entry)		All A/c from one FIR to another FIR should contact ATS unit responsible for providing FIS ___________ mts prior to entry.
545	ar-10	ar-22, ar-25, ar-26	FLAGGED	A	Pilot Disorientation	A	Pilot Disorientation	FAA AIM 8-1 ("illusion of rotation or movement in an entirely different axis")	option C quotes the AIM exactly; A and C both correct	Abrupt head movement during a prolonged constant rate turns in 1MC or simulated inst. conditions can cause:
546	ar-6	ar-4	VERIFIED	B	So that no part of the A/c extends beyond hold line			Annex 2 3.2.2.7.2	"no part beyond the line" detail from FAA practice	When instructed by ATC to hold short of Runway pilot should stop:
547	ar-4	ar-7, ar-12	FLAGGED	A	1 hr for 2 Eng A/c and 2 hrs or more for 3 Eng or more than 3 Eng A/c	A	1 hr for 2 Eng A/c and 2 hrs or more for 3 Eng or more than 3 Eng A/c	Ops textbook: two-engine = 1 h at OEI cruise speed; three/four-engine = 2 h at all-engines cruise speed	A is right on numbers but the stem applies OEI speed to both	Take off Alternate Aerodrome shall be located from the Aerodrome of departure not more than a distance equal to the Flt of______ with one engine inoperative cruise speed.
548	ar-5	ar-5, ar-6, ar-8	BLOCKED	B	F 50			AIP ENR 1.7 read: lowest transition level not stated	stem lost "India"	Lowest Transition Level in is:
549	ar-9	ar-13	VERIFIED	D	F 490			Ops textbook (radiation equipment above 15 000 m / 49 000 ft)		Cosmic Radiations affect a pilot flying over a height above:
550	ar-9	ar-13	CORRECTED (proposed, not applied)	C	8 hrs as Supernumerary pilot	B	6 hrs as co-pilot	Aircraft Rules r.42A Explanation (co-pilot or supernumerary time counted at 80 %)	120 h PIC leaves 5 h; 6 h co-pilot = 4.8 h (allowed); 8 h supernumerary = 6.4 h (exceeds). Keyed C is wrong. Note: scheduled crew are also bound by CAR 7-J-III (100 h / 28 days)	A pilot has flown 120 hrs as p-i-c in last 29 consecutive days. He can fly _____ on 30th day:
551	ar-8	ar-19, ar-21	FLAGGED	D	cannot be prosecuted	D	cannot be prosecuted	no held source	"cannot be prosecuted" is legally absolute; flagged in the July triage too. Recommend DROP	While force landing an aircraft in a field due to engine failure, one person is killed on ground P-i-C can be prosecuted for
552	ar-2	ar-2, ar-14, ar-15	VERIFIED	C	Both a& b			Aircraft Rules r.3(30) (instrument time = instrument flight time or instrument ground time)		Instrument time includes:
553	ar-9	ar-13	FLAGGED	C	From the time you report for the duty till 15 minutes after switch off.			CAR Sec 7 J Pt III def. FDP (report to engines off at end of last flight)	keyed C (15 min after switch-off) is not the current definition; no option correct	Flight Duty time is calculated based on:
554	ar-9	ar-13	VERIFIED	C	65 yrs			Aircraft Rules r.28A (65 years)		Maximum age up to which a pilot can fly for remuneration is:
555	ar-6	ar-4	VERIFIED	A	Special VFR flts & IFR flts			Doc 4444 7.14.1.2 (separation between IFR and special VFR)		Separation is affected between:
556	ar-8	ar-19, ar-21	VERIFIED	A	Control Tower			Doc 4444 7.1.2.1 (aerodrome control towers alert the rescue and fire fighting services)		In case of an accident in the vicinity of aerodrome, rescue & fire services are alerted by:
557	ar-9	ar-13	VERIFIED	B	An aircraft with critical shortage of fuel			CAR Sec 8 Series O Pt III 2.2.4.7.3 (MAYDAY MAYDAY MAYDAY FUEL = fuel emergency, which gets priority)		The following aircraft will be given priority to land:
558	ar-7	ar-9, ar-11	VERIFIED	D	Irrespective of the visibility during day & night when associated runway is being used			Doc 4444 7.15.3.2		PAPI lights are operated
559	ar-8	ar-19, ar-21	VERIFIED	D	Annex 17			Annex 17 = Security		ICAO document dealing with Acts of Unlawful Interference is
560	ar-7	ar-9, ar-11	VERIFIED	B	AIP			AIP India GEN 1.7		Significant differences between national regulations and ICAO procedures are published in
561	ar-7	ar-9, ar-11	VERIFIED	C	left			Annex 2 3.2.5 c) (turns to the left unless instructed)		All aircraft after take off are to turn __________ for a circuit pattern
562	ar-5	ar-5, ar-6, ar-8	VERIFIED	A	The local QNH			AIP India ENR 1.7 §3		During an initial climb in uncontrolled airspace, the altimeter setting should be:
563	ar-9	ar-13	VERIFIED	B	At transonic speed			AIP India ENR 1.2 4.2		A VFR flt cannot be operated:
564	ar-7	ar-9, ar-11	VERIFIED	A	10 kms			Aircraft Rules r.91 ("within a radius of ten kilometers from the aerodrome reference point")		Slaughtering of animals is not permitted with in _______ of ARP
565	ar-4	ar-7, ar-12	VERIFIED	B	DH			Doc 8168 def. DA/H		In a precision approach, minimum height below which p-i-c cannot descend unless visual reference to land is established
566	ar-4	ar-7, ar-12	VERIFIED	D	MDH			Doc 8168 def. MDA/H (question asks height)		In a non-precision approach, min height below which p-i-c may not descend is:
567	ar-4	ar-7, ar-12	VERIFIED	C	Both a & b			as #154		OCA is calculated for
568	ar-3	ar-3	CORRECTED (proposed, not applied)	B	At an arc of 110º to the port side	A	At an arc of 110º to the starboard side	CAR Sec 9 Series C Pt I App 6 (green light through angle of coverage R, 110 deg to the right)	keyed B (port side) is wrong; #625 keys it correctly	Green Light on an aircraft is visible if seen from the front
569	ar-4	ar-7, ar-12	VERIFIED	B	3.0 º			Annex 10 Vol I 3.1.5.1.2 "The ILS glide path angle should be 3 degrees"		ILS glide slope angle normally is set at :
570	ar-4	ar-7, ar-12	VERIFIED	A	Cat I runway			CAR Sec 4 Series B Pt I def. Precision approach runway Cat I (DH not lower than 60 m, visibility 800 m or RVR 550 m)		An instrument runway served by ILS & visual aids intended for operations with a DH not lower than 60m and RVR not less than 550m is a
571	ar-4	ar-7, ar-12	VERIFIED	A	Is highest sector safety altitude with in 25NMs			PANS-OPS (Air Law textbook ch.7-8 / Captain PANS-OPS notes): MSA provides 300 m clearance within 46 km (25 NM)		Airfield safety altitude:
572	ar-1	ar-1	VERIFIED	A	Lamberts			Jeppesen "Chart Clinic" (AOPA series): "Jeppesen uses the Lambert Conformal Conic projection for the enroute charts"		Enroute Jeppensen charts are based on ________________ projection
573	ar-4	ar-7, ar-12	VERIFIED	B	To fly to alternate +30mts at 1500’ make an approach and land			CAR Sec 8 Series O Pt III 3.4.3.5 e) 2) (turbine final reserve: 30 min holding at 1500 ft)		Fuel to be carried by a Turbo-jet aircraft when destination alternate is required is to fly to destination aerodrome execute an approach and MA and thereafter:
574	ar-2	ar-2, ar-14, ar-15	FLAGGED	D	six months & two years			Aircraft Rules r.39C as amended by G.S.R. 733(E) 2023	ATPL licence now 10 years, medical 12 months (<40) / 6 months (40+); no option is current - outdated, recommend rewrite	ATPL medical fitness and license validity period is
575	ar-9	ar-13	VERIFIED	B	Two cabin crew plus one cabin crew for each unit of 50 passengers units above 99 passengers			Aircraft Rules r.38B(1)(iii)		Cabin crew requirement for an airplane with seating capacity of more than 50 passengers is :
576	ar-5	ar-5, ar-6, ar-8	VERIFIED	B	is decreased			Doc 4444 5.3.2 (RVSM halves 2000 ft to 1000 ft)		Vertical separation in RVSM airspace
577	ar-7	ar-9, ar-11	FLAGGED	B	slightly high	B	slightly high	PAPI: 3 white + 1 red = slightly high	stem says "white and green" - PAPI has no green; malformed	On PAPI approach, if a pilot sees 3 lights white and green, the aircraft is
578	ar-4	ar-7, ar-12	FLAGGED	D	both	D	both	Doc 8168 (MDA/H for non-precision and circling)	option B text is truncated ("non-precision approach &") - parser damage	MDA is calculated for:
579	ar-4	ar-7, ar-12	VERIFIED	D	Extended-range Twin-engine Operations			CAR Sec 8 Series S Pt I 1.1 (ETOPS - now EDTO)		ETOPS stands for
580	ar-9	ar-13	VERIFIED	B	Military aircraft			Chicago Convention Art. 3 (military services = state aircraft) - Captain Ch.1 notes		An Air India aircraft is on an dry lease to I.F.A for military use. It will be known as a:
581	ar-2	ar-2, ar-14, ar-15	FLAGGED	D	Till it is destroyed in an accident			CAR Sec 2 Series F Pt I 7.3 (CoR valid from registration "till the date indicated on the Certificate of Registration")	registration now has a stated validity date; "till destroyed" is outdated	Registration of an aircraft is valid for:
582	ar-4	ar-7, ar-12	VERIFIED	D	Information and instruction to save operations			Aircraft Rules r.3(21A) Flight Manual def.		Flight manual contains:
583	ar-9	ar-13	FLAGGED	A	The operator to pilots by a circular			Aircraft Rules r.140B(2)(b) (succession of command designated in the Operations Manual)	no option says Operations Manual; keyed A (circular) not supported. See #719	Succession of command is given by:
584	ar-1	ar-1	VERIFIED	C	All aircraft			Aircraft Rules r.7B		Emergency check list is to be carried by:
585	ar-9	ar-13	VERIFIED	C	Cannot carried			Aircraft Rules r.6C (no person other than operating crew unless authorised by DG)		A pilot doing a test flight can carried by:
586	ar-2	ar-2, ar-14, ar-15	VERIFIED	C	15 days			Aircraft Rules r.42 (sickness or injury, incapacity of fifteen days or more)		If a CPL holder is hospitalized for ___________ day his medical becomes invalid:
587	ar-10	ar-22, ar-25, ar-26	VERIFIED	D	Emotional tension or anxiety			FAA AIM 8-1		Hyperventilation is caused due to:
588	ar-4	ar-7, ar-12	VERIFIED	D	All of the above			Doc 8168 OCA/H		OCA is Associated with:
589	ar-1	ar-1	FLAGGED	B	All flts other than local flts	B	All flts other than local flts	AIP India ENR 1.10	conflicts with #542/#378 (flight plan for all flights); local flying-club flights may file by phone/fax, not exempt	Flt plan is to be filed in in respect of:
590	ar-1	ar-1	CORRECTED (proposed, not applied)	C	0550 h	A	0530 h	CAR Sec 9 Series C Pt I 4.3 (VFR from 20 minutes before sunrise)	0550 - 20 = 0530 = option A. Keyed C (0550) is the old rule	Sun rise at Kalikut aerodrome is at 0550h. A VFR flight can take off from there at the earliest at:
591	ar-10	ar-22, ar-25, ar-26	VERIFIED	B	Carbon Dioxide			FAA AIM 8-1 (blows off carbon dioxide)		Hyper ventilation is caused due to lack of ___________ in blood system
592	ar-4	ar-7, ar-12	CONSISTENT (not document-checked)	B	Higher than			as #448		OCA circling approach is __________ the OCA precision approach:
593	ar-4	ar-7, ar-12	VERIFIED	B	DGCA			CAR Sec 8 Series C Pt I 4.2 (minima not lower than those specified by DGCA in the CAR)		If an aerodrome minima is not established for IFR/VFR operations the minima to be applied will be laid down by:
594	ar-5	ar-5, ar-6, ar-8	VERIFIED	B	QNE			AIP India ENR 1.7 §4.1		Enroute flt levels are on:
595	ar-12	ar-16, ar-17, ar-20	FLAGGED	B	Constant airspeed	B	Constant airspeed	as #535	option A (constant attitude) is arguably the right answer	To overcome severe turbulence pilot should maintain
596	ar-3	ar-3	VERIFIED	D	5 NMs from ARP upto 3000’ agl			AIP India ENR 1.10 Note (5 NM radius ARP, up to 3000 ft AGL)		At Aerodromes where no ATZ is established, the vicinity of aerodrome for VFR flts shall be:
597	ar-7	ar-9, ar-11	VERIFIED	C	AIP			AIP India GEN 1.7		Deviations from ICAO procedures are published in
598	ar-8	ar-19, ar-21	VERIFIED	B	Earliest one hr of the recording			as #538		To get valid result, FDR data can be erased for testing purpose upto
599	ar-6	ar-4	VERIFIED	B	Lateral			Doc 4444 5.4.1 (lateral separation)		Track separation is also known as separation
600	ar-10	ar-22, ar-25, ar-26	VERIFIED	B	Disorientation			FAA AIM 8-1		Abrupt head movements in IMC operations may cause:
601	ar-2	ar-2, ar-14, ar-15	VERIFIED	C	If demanded by C of A			Aircraft Rules r.38A(7) (minimum crew as specified in the C of A)		Flt. Engg. Is carried on board:
602	ar-7	ar-9, ar-11	VERIFIED	C	Chosing routes as listed in AIP			AIP India ENR 1.12 (follow established ATS routes)		Flt plan is prepared by
603	ar-1	ar-1	VERIFIED	B	200’			as #341		For safety reasons, a person should remain away from a jet engine by at least:
604	ar-9	ar-13	VERIFIED	C	All flightr in ADIZs			AIP India ENR 5.2.2		ADC is required for
