"Chapter","No","Question","A","B","C","D","Correct","Status","Verification / Note"
"met-10 Optical Phenomena","16","The cloud that causes a halo carries ____ risk of ice accretion:","Negligible","Maximum","Medium","","A) Negligible","VERIFIED","Ice-crystal cloud (already frozen) gives negligible airframe icing."
"met-10 Optical Phenomena","17","A halo occurs from ____ cloud:","Low","Medium","High","","C) High","VERIFIED","Cirrostratus is a high cloud."
"met-10 Optical Phenomena","18","The radius of Bishop's ring is about:","32°","22°","42°","","B) 22°","VERIFIED","Bishop's ring has a radius of about 22°."
"met-10 Optical Phenomena","19","A 22° halo around the sun shows a pure clear colour on its outer edge that is:","Red","Yellow","Violet","","C) Violet","VERIFIED","In a 22° halo the inner edge is red and the outer edge is bluish/violet."
"met-10 Optical Phenomena","20","The 'large halo' sometimes observed has a radius of about:","32°","46°","22°","","B) 46°","VERIFIED","The large halo has a radius of about 46°."
"met-9 Stability","1","DALR = 9.8°C, ELR = 6.8°C — atmosphere is","stable","unstable","","","A) stable","VERIFIED","ELR less than DALR for dry air means stable"
"met-9 Stability","2","SALR = 5.5°C, ELR = 4.5°C — atmosphere is","unstable","stable","indifferent","","B) stable","VERIFIED","For saturated air ELR below SALR means stable"
"met-9 Stability","3","DALR > ELR > SALR is","conditionally unstable","latently stable","potentially stable","","A) conditionally unstable","VERIFIED","ELR lies between SALR and DALR: conditional instability"
"met-9 Stability","4","Dry air is unstable when","ELR = DALR","ELR > DALR","ELR < DALR","","B) ELR > DALR","VERIFIED","Dry air unstable when ELR exceeds DALR"
"met-9 Stability","5","The saturated air is said to be unstable if","SALR = ELR","SALR < ELR","SALR > ELR","","B) SALR < ELR","VERIFIED","Saturated air unstable when ELR exceeds SALR"
"met-9 Stability","6","If ELR = SALR = DALR the atmosphere is","Stable","Indifferent","Unstable","","B) Indifferent","VERIFIED","Equal lapse rates give neutral/indifferent equilibrium"
"met-9 Stability","7","Surface temp 30°C. Assuming DALR, temperature at 2 km is","18°C","10°C","42°C","","B) 10°C","VERIFIED","30 minus 10 per km times 2 km equals 10°C"
"met-9 Stability","8","An Isothermal atmosphere is","Stable","Unstable","Neutral","","A) Stable","VERIFIED","Zero ELR is below SALR, hence absolutely stable"
"met-9 Stability","9","If ELR is less than SALR, atmosphere is said to be","Absolutely unstable","Conditionally unstable","Absolutely stable","","C) Absolutely stable","VERIFIED","ELR below SALR gives absolute stability"
"met-9 Stability","10","DALR is approximately","5°C/km","15°C/km","10°C/km","","C) 10°C/km","VERIFIED","Dry adiabatic lapse rate is about 9.8°C per km"
"met-9 Stability","11","SALR at mean sea level is about","10°C/km","5°C/km","5°F/km","","B) 5°C/km","VERIFIED","Saturated adiabatic lapse rate near MSL is about 5°C per km"
"met-9 Stability","12","SALR approaches DALR","at −15°C","at −40°C","","","B) at −40°C","VERIFIED","At very low temperatures little moisture remains, SALR nears DALR near -40°C"
"met-9 Stability","13","Dry air having a temp of 35°C on surface when forced to rise adiabatically by 1 km would attain a temp of","29°C","25°C","45°C","","B) 25°C","VERIFIED","35 minus about 10 per km cooling gives roughly 25°C"
"met-9 Stability","14","Inversion in the atmosphere indicates","Stability","Instability","Neutrality","","A) Stability","VERIFIED","Temperature increase with height suppresses vertical motion, very stable"
"met-9 Stability","15","Environmental LR can be more than DALR","True","False","","","A) True","VERIFIED","Superadiabatic ELR occurs over strongly heated surfaces"
"met-9 Stability","16","The process which to a large extent determines the vertical distribution of temperature in atmosphere is","Adiabatic","Isothermal","Isentropic","","A) Adiabatic","VERIFIED","Adiabatic processes govern vertical temperature structure"
"met-9 Stability","17","Rise in temperature with height is","Lapse","Normal","Inversion","","C) Inversion","VERIFIED","Temperature rising with height defines an inversion"
"met-9 Stability","18","Inversion is common in","Post Monsoon","Monsoon","Winters","","C) Winters","VERIFIED","Nocturnal radiation inversions are most frequent in winter"
"met-11 Precipitation","1","When super cooled water drops and ice particles co-exist, the ice crystals grow at the expense of the water drops because","Saturation vapour pressure over ice crystals is less than over water drops","Saturation vapour pressure over the ice crystals is less than over the water drops","The ice crystals convert into water drops","","A) Saturation vapour pressure over ice crystals is less than over water drops","VERIFIED","Bergeron process: saturation vapour pressure is lower over ice than over supercooled water."
"met-11 Precipitation","2","The clouds whose tops extend to the freezing level are called","Warm Clouds","Cold Clouds","Moderate Clouds","","B) Cold Clouds","VERIFIED","Clouds reaching/exceeding the 0 C level are classed as cold clouds."
"met-11 Precipitation","3","The clouds whose tops do not extend to the freezing level are called","Warm Clouds","Cold Clouds","Moderate Clouds","","A) Warm Clouds","VERIFIED","Clouds entirely below the 0 C level are warm clouds."
"met-11 Precipitation","4","Coalescence Theory explains occurrence of rainfall from","Warm Clouds","Cold Clouds","Both types of Clouds","","A) Warm Clouds","VERIFIED","Collision-coalescence produces rain in warm (above-freezing) clouds."
"met-11 Precipitation","5","Ice crystal Theory explains occurrence of rainfall from","Warm Clouds","Cold Clouds","Both types of Clouds","","B) Cold Clouds","VERIFIED","Ice-crystal (Bergeron) mechanism operates in cold clouds containing ice."
"met-11 Precipitation","6","Giant Nucleus Theory explains occurrence of rainfall over","Maritime areas","Inland areas","Hilly areas","","A) Maritime areas","VERIFIED","Large sea-salt (giant) nuclei are abundant over maritime areas."
"met-11 Precipitation","7","Very heavy precipitation as showers over an area above the mountain range is called","Maritime areas","Inland areas","Orographic Rain","","C) Orographic Rain","VERIFIED","Rain from air forced up a mountain barrier is orographic rain."
"met-11 Precipitation","8","Rain shadow area is on the ......... of the mountain range","Top","Windward side","Leeward side","","C) Leeward side","VERIFIED","The dry rain-shadow lies on the leeward side of the range."
"met-11 Precipitation","9","Sleet is a mixture of","Hail & Snow","Rain & Snow","Frozen Rain","","B) Rain & Snow","VERIFIED","Sleet is precipitation that is a mixture of rain and snow."
"met-11 Precipitation","10","Rainfall in the tropics is more in","Winters","Summers","Post monsoon","","B) Summers","VERIFIED","Tropical convective rainfall peaks in the summer season."
"met-11 Precipitation","11","Rainfall in the tropics is more in the","Morning","Afternoon","Night","","B) Afternoon","VERIFIED","Daytime heating drives afternoon convective rainfall in the tropics."
"met-11 Precipitation","12","Rainfall in the temperate latitudes is more in","Winters","Summers","Spring","","A) Winters","VERIFIED","Temperate rainfall peaks in winter due to frontal/cyclonic activity."
"met-11 Precipitation","13","Over J&K and western Himalayas Rainfall is more in","Winters","Summers","Post monsoon","","A) Winters","VERIFIED","Western Disturbances bring winter precipitation to J&K and the western Himalayas."
"met-11 Precipitation","14","Rainfall over coastal areas is more in","Evening","Night & early morning","Afternoon","","B) Night & early morning","VERIFIED","Land-breeze convergence favours night/early-morning rain over coasts."
"met-11 Precipitation","15","Areas to the ......... of Western Ghats of India are rain shadow areas","W","S","E","","C) E","VERIFIED","The leeward (eastern) side of the Western Ghats is the rain-shadow region."
"met-11 Precipitation","16","A sudden rise in the level of rivers or streams causing floods is called","Cloud Burst","Catchments flooding","Flash Floods","","C) Flash Floods","VERIFIED","A sudden rapid rise of water level is termed a flash flood."
"met-11 Precipitation","17","Artificial rain making is also termed as","Simulation","Cloud seeding","Nucleation","","B) Cloud seeding","CORRECTED","Artificial rainmaking is called cloud seeding, not nucleation."
"met-11 Precipitation","18","Fog can also be dispersed for a short period by artificial stimulation","True","False","","","A) True","VERIFIED","Fog can be temporarily dispersed by artificial (seeding/heating) methods."
"met-11 Precipitation","19","Showery precipitation occurs from","NS","AC","CB","","C) CB","VERIFIED","Showers fall from convective cumulonimbus (CB) clouds."
"met-11 Precipitation","20","A day is called Rainy day when rainfall in 24 hr is ......... mm or more","1.5","2","2.5","","C) 2.5","VERIFIED","A rainy day is defined as 2.5 mm or more of rain in 24 hours."
"met-11 Precipitation","21","The clouds whose tops extend well above the freezing level are called","Warm Clouds","Cold Clouds","Moderate Clouds","","B) Cold Clouds","VERIFIED","Clouds extending well above the 0 C level are cold clouds."
"met-11 Precipitation","22","Coalescence Theory explains occurrence of rainfall from the","Warm Clouds","Cold Clouds","Both types of Clouds","","A) Warm Clouds","TEXT-FIX","Coalescence produces rain in warm clouds; repaired split word 'th e'."
"met-11 Precipitation","23","Ice crystal Theory explains occurrence of rainfall from the","Warm Clouds","Cold Clouds","Both types of Clouds","","B) Cold Clouds","TEXT-FIX","Ice-crystal mechanism produces rain in cold clouds; repaired split word 'th e'."
"met-11 Precipitation","24","Very heavy precipitation as showers over a short period is called","Flash floods","Cloud Burst","Orographic Rain","","B) Cloud Burst","VERIFIED","Very heavy shower over a short time/small area is a cloud burst."
"met-11 Precipitation","25","Rainfall over coastal areas is more in the","Evening","Afternoon","Night & early morning","","C) Night & early morning","VERIFIED","Coastal rain is favoured at night and early morning by land-breeze convergence."
"met-12 Ice Accretion","1","Hoar frost occurs on airframe in clear air when the temperature of airframe is","below the frost point","frost point","just above the frost point","","A) below the frost point","VERIFIED","Hoar frost forms by deposition only when the surface is below the frost point."
"met-12 Ice Accretion","2","In clouds at temperatures below 0°C an aircraft may encounter icing of the type","only Glazed","only Rime","intermediate between these two","","C) intermediate between these two","VERIFIED","Below 0°C icing is typically mixed, intermediate between rime and glaze."
"met-12 Ice Accretion","3","Opaque Rime ice is","Light porous","Solid","Mixture of porous and solid","","A) Light porous","VERIFIED","Rime is white, opaque, light and porous due to trapped air."
"met-12 Ice Accretion","4","Rime is formed by freezing of ……… supercooled water droplets on airframe when aircraft is flying through clouds","Small","Large","Medium","","A) Small","VERIFIED","Small droplets freeze instantly on impact, trapping air to give rime."
"met-12 Ice Accretion","5","Glazed ice is formed by freezing of ……… supercooled water droplets on airframe when aircraft is flying through clouds","Small","Large","Medium","","B) Large","VERIFIED","Large droplets spread before freezing, producing clear glaze ice."
"met-12 Ice Accretion","6","The ……… ice poses serious aviation hazard","Rime","Hoar Frost","Glazed","","C) Glazed","VERIFIED","Glaze/clear ice is hard, heavy and adheres strongly, the greatest hazard."
"met-12 Ice Accretion","7","Airframe icing occurs below 0°C. Its probability of occurrence decreases progressively below −20°C as at lower temperatures the proportion of supercooled water drops in a cloud","Increases","Decreases","Does not change","","B) Decreases","VERIFIED","Below −20°C droplets increasingly freeze to ice crystals, reducing supercooled water."
"met-12 Ice Accretion","8","Ci, Cs and CC clouds consist mostly of ice crystals. Icing hazard is therefore","Maximum","Medium","Negligible","","C) Negligible","VERIFIED","High ice clouds hold almost no supercooled water, so icing is negligible."
"met-12 Ice Accretion","9","As, NS consist of supercooled water drops and ice crystals in varying proportion ……… icing is possible","Maximum","Light or moderate","Negligible","","B) Light or moderate","VERIFIED","Mixed-phase middle clouds give light to moderate icing."
"met-12 Ice Accretion","10","In AC clouds ……… icing is possible in mountainous areas","Light","Moderate","Severe","","C) Severe","VERIFIED","Orographic lift in mountains raises water content, giving severe icing in Ac."
"met-12 Ice Accretion","11","In TCU icing may range from light to severe type at least up to ……… level","−40°C level","−30°C level","−20°C level","","C) −20°C level","VERIFIED","Towering cumulus carry significant supercooled water to the −20°C level."
"met-12 Ice Accretion","12","In CB icing may range from light to severe type up to −20°C level. Below this temperature severe icing is","not significant","significant","maximum","","A) not significant","VERIFIED","Below −20°C the cloud is largely glaciated, so severe icing is not significant."
"met-12 Ice Accretion","13","Liquid water content is an important factor in icing. As the maximum water concentration is around ……… maximum ice formation in clouds may also be expected around that level","−25°C level","−20°C level","−15°C level","","A) −25°C level","VERIFIED","Keyed teaching value for peak water concentration and ice formation is the −25°C level."
"met-12 Ice Accretion","14","Carburetor icing occurs when air from intake passes through a ventury (choke) and causes expansional cooling and vaporization of fuel. Serious icing can occur at extreme temperatures","13°C","30°C to −10°C","20°C","","B) 30°C to −10°C","VERIFIED","Venturi cooling and fuel vaporisation cause serious carb icing across roughly +30°C to −10°C."
"met-12 Ice Accretion","15","……… occurs in a moist cloudless air on an aircraft surface having temp. below 0°C, due to sublimation of water vapour onto feathery ice crystals","Rime","Glazed","Hoar Frost","","C) Hoar Frost","VERIFIED","Deposition of vapour to feathery crystals in clear moist air is hoar frost."
"met-12 Ice Accretion","16","……… occurs in St, Sc, Ac, Cu, Ns at temperature −10 to −40°C and in Cb at temperature −20 to −40°C","Rime","Glazed","Hoar Frost","","A) Rime","VERIFIED","Small-droplet freezing at these colder temperatures gives rime."
"met-12 Ice Accretion","17","In clouds ……… occurs when a wide range of water drop sizes are present at temperatures between 0°C and −40°C","Rime","Glazed and clear ice","Mixture of rime and clear ice","","C) Mixture of rime and clear ice","VERIFIED","A wide spectrum of drop sizes yields a mixture of rime and clear ice."
"met-12 Ice Accretion","18","……… occurs in AS, NS, AC and towering CU or CB between 0°C and −20°C, in warm front below 0°C, if the aircraft has rapidly descended from a colder region","Glazed","Rime","Mixture of Rime and Clear ice","","C) Mixture of Rime and Clear ice","VERIFIED","Mixed drop sizes in these clouds/warm-front descent produce a mixture of rime and clear ice."
"met-12 Ice Accretion","19","When fog freezes on parked aircraft it produces ………","Hoar Frost","Rime","Clear ice","","B) Rime","VERIFIED","Supercooled fog droplets freezing on a parked airframe deposit rime."
"met-12 Ice Accretion","20","Icing ……… the stalling speed appreciably","Decreases","Increases","Does not increase/decrease","","B) Increases","VERIFIED","Ice disrupts airflow and adds weight, raising the stalling speed."
"met-12 Ice Accretion","21","Glazed ice is formed by freezing of ……… supercooled water droplets on airframe when aircraft is flying through clouds","small","Large","medium","","B) Large","TEXT-FIX","Large droplets give glaze ice; fixed OCR typo 'airrame'→'airframe'."
"met-12 Ice Accretion","22","CI, CS and CC clouds consist mostly ice crystals. Icing hazard is therefore","Maximum","Medium","Negligible","","C) Negligible","VERIFIED","Ice-crystal high clouds carry no supercooled water, so icing is negligible."
"met-12 Ice Accretion","23","Carburetor icing occurs when air from intake passes through a venturi (choke) and causes expansional cooling and vaporization of fuel. Serious icing can occur at extreme temperatures","13 °C","30°C to -10°C","20 °C","","B) 30°C to -10°C","VERIFIED","Serious carburettor icing occurs across roughly +30°C to −10°C."
"met-12 Ice Accretion","24","……… occurs in AS, NS, AC and towering CU or CB between 0°C and −20°C, in warm front below 0°C, especially if the aircraft has rapidly descended from a colder region","Glazed","Rime","Mixture of Rime and Clear ice","","C) Mixture of Rime and Clear ice","TEXT-FIX","Fixed OCR: 'SC'→'AC', added minus in '−20°C', option 'Fume'→'Rime'; mixed ice is the keyed answer."
"met-13 Thunderstorm","1","The condition necessary for the formation of a thunderstorm are","Steep lapse rate, strong winds","Shallow lapse rate, adequate supply of moisture","Steep lapse rate, adequate supply of moisture and trigger action","","C) Steep lapse rate, adequate supply of moisture and trigger action","VERIFIED","TS needs instability (steep lapse rate), moisture and a trigger/lifting mechanism."
"met-13 Thunderstorm","2","Hail is most likely to fall from a cloud","Having layers of ice crystals","Composed of ice crystals","Having strong vertical development","","C) Having strong vertical development","VERIFIED","Hail forms in deep clouds with strong vertical currents (CB)."
"met-13 Thunderstorm","3","Norwesters are","The western disturbances which affect NW India","Severe thunderstorms which occur over NE India during hot weather period","Severe thunderstorms which occur over Peninsula during hot weather period","","B) Severe thunderstorms which occur over NE India during hot weather period","VERIFIED","Norwesters are severe pre-monsoon TS over east/northeast India."
"met-13 Thunderstorm","4","Duststorm occurs over NW India during","Post-monsoon","Winter","Pre-Monsoon","","C) Pre-Monsoon","VERIFIED","Dust storms over NW India occur in the hot pre-monsoon season."
"met-13 Thunderstorm","5","A 'mature' thunderstorm has strong","updraft only","downdraft only","updrafts and downdraughts","","C) updrafts and downdraughts","VERIFIED","Mature stage has coexisting up- and down-draughts."
"met-13 Thunderstorm","6","Aircraft icing is most favoured in the cloud at temperatures ranging between","−20°C and −40°C","0°C and −20°C","below −40°C","","B) 0°C and −20°C","VERIFIED","Supercooled water most abundant between 0 and −20°C, giving worst icing."
"met-13 Thunderstorm","7","A short duration, showery precipitation is associated with","ST","AS","CB","","C) CB","VERIFIED","Showers come from convective cumulonimbus (CB)."
"met-13 Thunderstorm","8","The most hazardous cloud for aviation is","CB","CU","NS","","A) CB","VERIFIED","Cumulonimbus contains turbulence, hail, icing and lightning."
"met-13 Thunderstorm","9","The life of a Cb cell is usually","7 to 8 hrs","3 to 4 hrs","2–3 hr","","C) 2–3 hr","VERIFIED","A single CB cell lasts roughly 2–3 hours."
"met-13 Thunderstorm","10","Generally the mature activity of a heat type, TS is for","2 hrs","30 to 45 min","3 to 4 hr","","B) 30 to 45 min","VERIFIED","Peak activity of a heat TS lasts about 30–45 minutes."
"met-13 Thunderstorm","11","Norwesters occur during","Jan–Feb","Mar–May","Jun–Sep","","B) Mar–May","VERIFIED","Norwesters occur in the hot pre-monsoon months March–May."
"met-13 Thunderstorm","12","Norwesters affect","N India","Bengal, Bihar, Orissa and Assam","Central India","","B) Bengal, Bihar, Orissa and Assam","VERIFIED","Norwesters affect the eastern states of Bengal, Bihar, Orissa and Assam."
"met-13 Thunderstorm","13","The trigger action may take place due to","Clear night sky, no wind","Orographic lifting","high pressure","","B) Orographic lifting","VERIFIED","Orographic lifting provides the trigger action for convection."
"met-13 Thunderstorm","14","Norwesters normally occur during","Mornings","Afternoons","Nights","","B) Afternoons","CORRECTED","Convective Norwesters develop with afternoon heating."
"met-13 Thunderstorm","15","Norwesters originates over","Chota-Nagpur hills","Deccan Plato","Khasi hills","","A) Chota-Nagpur hills","CORRECTED","Norwesters originate over the Chota Nagpur plateau region."
"met-13 Thunderstorm","16","Andhi (blinding storms) occur generally over","S India","N India","NE India","","B) N India","VERIFIED","Andhi dust storms occur over north/northwest India."
"met-13 Thunderstorm","17","Wind speed in Light DS is","25 kt","30 kt","up to 21 kt","","C) up to 21 kt","VERIFIED","A light dust storm has winds up to about 21 kt."
"met-13 Thunderstorm","18","The diametre of Microburst is","less than 4 km","less than 2 km","less than 6 km","","A) less than 4 km","VERIFIED","A microburst outflow is less than 4 km across."
"met-13 Thunderstorm","19","The diametre of and Macroburst","<4 km","4 km or more",">8 km","","B) 4 km or more","VERIFIED","A macroburst outflow is 4 km or more across."
"met-13 Thunderstorm","20","For detecting precipitation a Radar wavelength in the range ……… is suitable","30 to 200 mm","400–500 mm","600–700 mm","","A) 30 to 200 mm","CORRECTED","Weather/precipitation radars use centimetric wavelengths, about 30–200 mm."
"met-13 Thunderstorm","21","For airborne radars wavelength generally used","20 mm","40 mm","60 mm","","B) 40 mm","VERIFIED","Airborne weather radar uses a wavelength of about 3–4 cm."
"met-13 Thunderstorm","22","The wavelength of TS detection X band radar is","10 mm","20 mm","30 mm","","C) 30 mm","CORRECTED","X-band wavelength is about 30 mm (3 cm)."
"met-13 Thunderstorm","23","The wavelength of storm detection S band radar is","50 mm","100 mm","200 mm","","B) 100 mm","VERIFIED","S-band wavelength is about 100 mm (10 cm)."
"met-13 Thunderstorm","24","Over plains TS mostly occur during the","afternoon","night","early morning","","A) afternoon","VERIFIED","Over plains, surface heating causes afternoon thunderstorms."
"met-13 Thunderstorm","25","Over valley and foot hills TS generally occur during","afternoon","night & early morning","early morning","","B) night & early morning","VERIFIED","Katabatic/convergence effects give night & early-morning TS in valleys."
"met-13 Thunderstorm","26","Over the sea TS are more frequent","afternoon","night","early morning","","B) night","VERIFIED","Over sea the surface is warmest relative to air at night, favouring nocturnal TS."
"met-13 Thunderstorm","27","The life of Mesoscale Convective Complex is","2-3 hr","3-4 hr","6 to 24 hr","","C) 6 to 24 hr","VERIFIED","An MCC persists for roughly 6 to 24 hours."
"met-13 Thunderstorm","28","Loud peals of thunder, frequent flashes of lightning, moderate or heavy showers accompanied by light wind hail speed 15-40 kt are characteristic of a TS of intensity","Having layers","Moderate TS","Severe TS","","B) Moderate TS","CORRECTED","Winds 15–40 kt with moderate/heavy showers define a moderate thunderstorm."
"met-13 Thunderstorm","29","For a severe TS one of the requirements is strong Wind Shear","Horizontal","Vertical","Slant","","B) Vertical","VERIFIED","Strong vertical wind shear organises and sustains severe TS."
"met-13 Thunderstorm","31","When flying through an active TS, lighting strikes are most likely","Above 5000 ft and under the anvil","In the clear air below the cloud in rain","In the temperature band between +10° and −10°C","","C) In the temperature band between +10° and −10°C","CORRECTED","Lightning strikes to aircraft are most common near the 0°C level, in the +10 to −10°C band."
"met-13 Thunderstorm","32","Hazards of TS to aircraft of a TS Cell include turbulence, lightning, and","Microburst, wind shear and anvil","Icing, microburst and WS","—","","B) Icing, microburst and WS","CORRECTED","Additional TS hazards are icing, microburst and wind shear."
"met-13 Thunderstorm","33","Hail grows as it freezes as it","freezes as it falls","up and down forces in CU cloud","collision with ice crystals","collision with supercooled water drops","D) collision with supercooled water drops","VERIFIED","Hailstones grow by accreting supercooled water drops that freeze on them."
"met-13 Thunderstorm","34","Dust Storm usually occurs over NW India during","Post-monsoon","Winter","Pre-Monsoon","","C) Pre-Monsoon","VERIFIED","Dust storms over NW India occur in the hot pre-monsoon season."
"met-13 Thunderstorm","35","A 'mature' thunderstorm has","updraft only","downdraft only","updrafts and downdrafts","","C) updrafts and downdrafts","VERIFIED","Mature stage has both up- and down-draughts."
"met-13 Thunderstorm","36","Aircraft icing is most favoured in the cloud which have temperatures ranging between","20° C and 40° C","0° C and - 20° C","below 40 ° C","","B) 0° C and - 20° C","VERIFIED","Worst icing occurs between 0°C and −20°C where supercooled water is abundant."
"met-13 Thunderstorm","37","Generally the severest activity of a, heat type, TS is for","2 hrs","30 to 45 min","3 to 4 hr","","B) 30 to 45 min","VERIFIED","Severest activity of a heat TS lasts about 30–45 minutes."
"met-13 Thunderstorm","38","The trigger action may take place due ro","Clear night sky no wind","Orographic lifting","high pressure","","B) Orographic lifting","VERIFIED","Orographic lifting provides trigger action for convection."
"met-13 Thunderstorm","39","The diameter of Microburst is","less than 4 km","less than 2 km","less than 6 km","","A) less than 4 km","VERIFIED","A microburst is less than 4 km in diameter."
"met-13 Thunderstorm","40","The diameter of and Macroburst","< 4 km","4 km or more","> 8 km","","B) 4 km or more","VERIFIED","A macroburst is 4 km or more in diameter."
"met-13 Thunderstorm","41","The life of Mesoscale Convective Complex TS is","6 to 24 hr","3-4 hr","2-3 hr","","A) 6 to 24 hr","VERIFIED","A Mesoscale Convective Complex persists for 6 to 24 hours."
"met-13 Thunderstorm","42","Loud peals of thunder, frequent flashes of lightning, moderate or heavy showers accompanied by light hail with maximum wind speed 15-40 kt is classified as","Light TS","Moderate TS","Severe TS","","B) Moderate TS","TEXT-FIX","Winds 15–40 kt define a moderate TS; '1540 kt' OCR garble repaired to 15–40 kt."
"met-13 Thunderstorm","43","When flying through on active TS, lightning strikes are mostly likely","Above 5000 ft and under the anvil","In the clear air below the cloud in rain","In the temperature band between +10 C and -10 C","At or above 10000 ft","C) In the temperature band between +10 C and -10 C","VERIFIED","Lightning strikes are most likely in the +10 to −10°C band near the freezing level."
"met-13 Thunderstorm","44","Hazards of the mature stage of TS Cell include lighting, turbulence and","Microburst, windshear and anvil","Icing, microburst and WS","Icing, drizzle and microburst","WS, hail and fog","B) Icing, microburst and WS","VERIFIED","Further mature-stage hazards are icing, microburst and wind shear."
"met-13 Thunderstorm","45","Hail grows by","freezing as it leaves the cloud","up and down forces in CU cloud","collision with ice crystals","collision with supercooled water drops","D) collision with supercooled water drops","VERIFIED","Hail grows by collecting and freezing supercooled water drops."
"met-14 Air Masses, Fronts & Western Disturbances","1","The airmass which originates at sea in high latitudes is called","Polar maritime","Tropical continental","Tropical maritime","","A) Polar maritime","VERIFIED","Sea + high latitude = Polar maritime"
"met-14 Air Masses, Fronts & Western Disturbances","2","The airmass which originates over equatorial region is","Warm and dry","Warm and Moist","Cold and dry","","B) Warm and Moist","VERIFIED","Equatorial source = warm and moist"
"met-14 Air Masses, Fronts & Western Disturbances","3","If the advancing cold front is colder than the cool air mass of the warm front, the advancing cold front undercuts and lifts both the warm and cool air masses of the warm front. This is","Warm Occlusion","Cold Occlusion","—","","B) Cold Occlusion","VERIFIED","Colder overtaking air undercutting = cold occlusion"
"met-14 Air Masses, Fronts & Western Disturbances","4","The airmass which originated over land area located in polar region is","Warm and dry","Warm and Moist","Cold and dry","","C) Cold and dry","VERIFIED","Land + polar = cold and dry"
"met-14 Air Masses, Fronts & Western Disturbances","5","If a warm airmass overtakes a cold air mass, it is called","Cold Front","Warm Front","Occluded Front","","B) Warm Front","VERIFIED","Warm air advancing over cold = warm front"
"met-14 Air Masses, Fronts & Western Disturbances","6","At warm front","Warm air overtakes the cold air","Cold air undercuts the warm air","","","A) Warm air overtakes the cold air","VERIFIED","Warm front: warm air rides over retreating cold air"
"met-14 Air Masses, Fronts & Western Disturbances","7","The conditions are always unstable at a","Cold front","Warm front","","","A) Cold front","VERIFIED","Steep cold-front slope forces strong uplift = unstable"
"met-14 Air Masses, Fronts & Western Disturbances","8","Sometimes line squall occurs 100-300 km ahead of a","Warm front","Cold front","","","B) Cold front","VERIFIED","Pre-frontal squall line precedes cold front"
"met-14 Air Masses, Fronts & Western Disturbances","9","Precipitation occurs over a belt of 30–50 km on both sides of front","Cold front","Warm front","","","A) Cold front","VERIFIED","Cold front precipitation is a narrow band"
"met-14 Air Masses, Fronts & Western Disturbances","10","Cold front moves at ... the speed of a warm front moves","Same","Double","Half","","B) Double","VERIFIED","Cold front travels about twice warm-front speed"
"met-14 Air Masses, Fronts & Western Disturbances","11","Line Squalls occur ... of cold front","Ahead","Behind","At the","","A) Ahead","VERIFIED","Squall line runs ahead of the cold front"
"met-14 Air Masses, Fronts & Western Disturbances","13","CB, Roll-type clouds, SC, AC with embedded CB are associated with","Cold Front","Warm front","","","A) Cold Front","VERIFIED","Convective CB/roll cloud belong to cold front"
"met-14 Air Masses, Fronts & Western Disturbances","14","The surface of discontinuity between air at Polar Ely and the temperate Wly is called","Equatorial Front","Tropopause","Polar Front","","C) Polar Front","TEXT-FIX","Polar/temperate air boundary = Polar Front; OCR 'Time'->'Front'"
"met-14 Air Masses, Fronts & Western Disturbances","15","The air mass which originates from sea area located in lower lat is","Warm and Dry","Warm and Moist","Cold and Moist","","B) Warm and Moist","VERIFIED","Air from a low-latitude sea is tropical maritime — warm and moist."
"met-14 Air Masses, Fronts & Western Disturbances","16","WDs approach India as","Cols","Occluded Fronts","Highs","","B) Occluded Fronts","VERIFIED","Western disturbances reach India as occluded frontal lows"
"met-14 Air Masses, Fronts & Western Disturbances","17","Maximum WDs occur in","Summers","Post Monsoon","Winters","","C) Winters","VERIFIED","Western Disturbances are most frequent in the winter season."
"met-14 Air Masses, Fronts & Western Disturbances","18","Ahead of a warm front the surface wind","Backs & weakens","Veers & strengthens","Backs & strengthens","","C) Backs & strengthens","VERIFIED","Ahead of warm front wind backs and strengthens (N.Hem)"
"met-14 Air Masses, Fronts & Western Disturbances","19","On approach of a Warm Front temperature","Fall","Rise","Remain same","","C) Remain same","VERIFIED","Temperature steady ahead of warm front, rises only at passage"
"met-14 Air Masses, Fronts & Western Disturbances","20","Ci, CS, AS, ST in sequence are associated with the front","Warm","Cold","Occluded","","A) Warm","VERIFIED","A lowering Ci–Cs–As–St cloud sequence marks an approaching warm front."
"met-14 Air Masses, Fronts & Western Disturbances","21","During the passage of a Cold Front winds","Suddenly become squally","Back and weaken","Veer and are of moderate strength","","A) Suddenly become squally","VERIFIED","Cold-front passage brings sudden squally veering winds"
"met-14 Air Masses, Fronts & Western Disturbances","22","Visibility is poor in a Warm Front","Ahead","Ahead & During","After & During","","A) Ahead","VERIFIED","Warm-front poor visibility set in ahead of the front"
"met-14 Air Masses, Fronts & Western Disturbances","23","Fog occurs in Cold Front","Ahead","During","After","","A) Ahead","VERIFIED","Pre-frontal (ahead) fog in warm air mass of cold front"
"met-14 Air Masses, Fronts & Western Disturbances","24","WD is a ………… front","Cold","Warm","Occluded","","C) Occluded","VERIFIED","Western disturbance is an occluded frontal system"
"met-14 Air Masses, Fronts & Western Disturbances","25","FZRA and FZFG occur ………… of a warm front","Ahead","During","After","","A) Ahead","VERIFIED","Freezing rain/fog form in cold air ahead of warm front"
